FILM;ID ACTEUR;
tt0081859;nm0001793;
tt0079492;nm0000550;
tt0079492;nm0165551;
tt0080536;nm0001575;
tt0080536;nm0013119;
tt0080536;nm0147160;
tt0078320;nm0340926;
tt0081975;nm0345297;
tt0081975;nm0103193;
tt0077289;nm0000257;
tt0077289;nm0001749;
tt0078492;nm0000549;
tt0078492;nm0001321;
tt0077921;nm0001665;
tt29120102;nm0000304;
tt0075995;nm0278752;
tt0075995;nm0086780;
tt0076009;nm0001221;
tt0088248;nm0000010;
tt0088248;nm0138770;
tt0088248;nm0000289;
tt0082970;nm0001527;
tt0082970;nm0738415;
tt0062676;nm0444476;
tt0062676;nm0001119;
tt0062676;nm0409869;
tt0331187;nm0547570;
tt0331187;nm1239792;
tt0055256;nm0001976;
tt0055256;nm0863016;
tt0053849;nm0915840;
tt0053849;nm0182626;
tt0053272;nm0614916;
tt0053272;nm0944073;
tt0053109;nm0429250;
tt0053109;nm0809783;
tt0050681;nm0540416;
tt0050681;nm0339452;
tt0408379;nm0355095;
tt0408379;nm0674540;
tt0408379;nm0415591;
tt0042141;nm0599910;
tt0042141;nm0627950;
tt0042141;nm0853299;
tt0049844;nm0001766;
tt0049844;nm0682074;
tt0049881;nm0239210;
tt0049881;nm0573640;
tt0048380;nm0000020;
tt0048380;nm0001635;
tt0048604;nm0899890;
tt0048604;nm0864869;
tt0055214;nm0000011;
tt0055214;nm0000039;
tt0055214;nm0692439;
tt0053455;nm0000032;
tt0053351;nm0000028;
tt0053351;nm0001336;
tt0052545;nm0281766;
tt0052545;nm0179819;
tt0052876;nm0770730;
tt0052876;nm0001500;
tt0051899;nm0518728;
tt0052283;nm0890215;
tt0052283;nm0662646;
tt0050658;nm0002001;
tt0049233;nm0570192;
tt0047956;nm0001948;
tt0047956;nm0000897;
tt0047647;nm0000044;
tt0047647;nm0201005;
tt0047013;nm0001333;
tt0047013;nm0001847;
tt0045563;nm0738746;
tt0046238;nm0427543;
tt0046238;nm0371536;
tt0045184;nm0857187;
tt0045184;nm0108406;
tt0098649;nm0000012;
tt0098649;nm0000324;
tt0098649;nm0131974;
tt0094315;nm0001273;
tt0094315;nm0001637;
tt0090663;nm0001277;
tt0090663;nm0000130;
tt0089640;nm0590055;
tt0085032;nm0000981;
tt0085032;nm0783314;
tt0085032;nm0177211;
tt0086198;nm0000071;
tt0086198;nm0227039;
tt0084258;nm0001450;
tt0084258;nm0822972;
tt0084258;nm0000842;
tt0084494;nm0298323;
tt0084494;nm0447782;
tt0082360;nm0405175;
tt0082360;nm0399663;
tt0081526;nm0381606;
tt0081526;nm0005385;
tt0081738;nm0000468;
tt0081738;nm0724202;
tt0081750;nm0362085;
tt0081750;nm0373012;
tt0079956;nm0001687;
tt0079956;nm0707077;
tt0077413;nm0001201;
tt0077413;nm0531546;
tt0078158;nm0000489;
tt0078158;nm0001668;
tt0062558;nm0000013;
tt0062558;nm0114439;
tt0062558;nm0823301;
tt0063905;nm0197314;
tt0063905;nm0813940;
tt0063905;nm0130210;
tt0063821;nm0001417;
tt0063821;nm0140946;
tt0063801;nm0607666;
tt0063801;nm0856103;
tt0061380;nm0336335;
tt0061380;nm0001421;
tt0061447;nm0001827;
tt10898960;nm0001792;
tt0060463;nm0323960;
tt0059112;nm0045968;
tt0058571;nm0001369;
tt0058571;nm0709704;
tt0057329;nm0001258;
tt0057329;nm0000917;
tt0057581;nm0290086;
tt0055797;nm0002051;
tt0056575;nm0000026;
tt0056575;nm0949574;
tt0096460;nm0000762;
tt0096460;nm0005412;
tt0096460;nm0000014;
tt0090638;nm0001388;
tt0090638;nm0631761;
tt0090490;nm0000263;
tt0090490;nm0001016;
tt0090490;nm0143779;
tt0084609;nm0005289;
tt0084609;nm0047779;
tt0082779;nm0084642;
tt0082779;nm0001153;
tt0075529;nm0533891;
tt0075529;nm0465728;
tt0075529;nm0486198;
tt0079152;nm0000482;
tt0079152;nm0000266;
tt0079152;nm0000977;
tt0078678;nm0005247;
tt0078678;nm0002126;
tt0078678;nm0467178;
tt0078350;nm0000323;
tt0078350;nm0001684;
tt0075648;nm0000493;
tt0075648;nm0001072;
tt0069110;nm0447305;
tt0069110;nm0630375;
tt0067721;nm0625343;
tt0067721;nm0827084;
tt0065374;nm0002198;
tt0065374;nm0045996;
tt0065374;nm0000298;
tt0061245;nm0858683;
tt0061245;nm0175788;
tt0041007;nm0806065;
tt0041007;nm5581323;
tt0041007;nm0336121;
tt0049261;nm0000072;
tt0049261;nm0000015;
tt0047724;nm0853576;
tt0047724;nm0141311;
tt0047724;nm0768996;
tt0048545;nm0000081;
tt0048545;nm0000543;
tt0043228;nm0000051;
tt0043228;nm0002050;
tt0043228;nm0656745;
tt0042123;nm0139392;
tt0042123;nm0413640;
tt0042123;nm0472603;
tt0048028;nm0364915;
tt0045449;nm0453006;
tt0045449;nm0658133;
tt0045449;nm0028647;
tt0045395;nm0001654;
tt0045395;nm0378532;
tt0045395;nm0004864;
tt0042098;nm0823154;
tt0042098;nm0083081;
tt0040049;nm0529313;
tt0040049;nm4829840;
tt0042074;nm0249950;
tt0042074;nm0065579;
tt0042074;nm0792714;
tt0039123;nm0379051;
tt0039123;nm0181961;
tt0070460;nm0000302;
tt0070460;nm0529543;
tt0070460;nm0000076;
tt0268867;nm0264554;
tt0268867;nm0746164;
tt0066989;nm0548440;
tt0066989;nm0854909;
tt0324361;nm0797531;
tt0324361;nm0412245;
tt0324361;nm0156737;
tt0053964;nm0167346;
tt0053964;nm0561287;
tt0079867;nm0000309;
tt0079867;nm0739185;
tt0079867;nm0001571;
tt0058453;nm0039510;
tt0055031;nm0000075;
tt0052311;nm0000080;
tt0052311;nm0001463;
tt0051201;nm0000061;
tt0051201;nm0000017;
tt0051201;nm0001452;
tt0049520;nm0001120;
tt0049520;nm0640023;
tt0048960;nm0000057;
tt0048960;nm0134594;
tt0048960;nm0192958;
tt0045070;nm0002072;
tt0043859;nm0424318;
tt0042994;nm0943837;
tt0042994;nm0865262;
tt0041523;nm0867144;
tt0041523;nm0908695;
tt0041523;nm0566584;
tt0040367;nm0000795;
tt0040367;nm0526184;
tt0039428;nm0001537;
tt0039428;nm0904531;
tt0038728;nm0300064;
tt0038728;nm0195956;
tt0036984;nm0172903;
tt0036984;nm0185883;
tt1462446;nm0000018;
tt0290218;nm0329640;
tt0290218;nm0875912;
tt0311110;nm0000140;
tt0311110;nm0001613;
tt0108968;nm0004884;
tt0108968;nm0005343;
tt0108968;nm0004891;
tt0096697;nm0144657;
tt0096697;nm0004813;
tt0096697;nm0733427;
tt5789448;nm0377118;
tt0111353;nm0005266;
tt0111353;nm0000787;
tt0096560;nm0886733;
tt0096560;nm0265067;
tt0109936;nm0000150;
tt0109936;nm0001802;
tt0105343;nm0000310;
tt0105343;nm0676349;
tt0096708;nm0440885;
tt0096708;nm0110735;
tt0096708;nm0001208;
tt0103194;nm0816279;
tt0103194;nm0046793;
tt0102603;nm0000230;
tt0102603;nm0001560;
tt0095373;nm0001673;
tt0095373;nm0569000;
tt0093267;nm0748207;
tt0093267;nm0690743;
tt0093267;nm0576862;
tt0086412;nm0814773;
tt0086412;nm0097967;
tt0086412;nm0299993;
tt0075793;nm0542063;
tt0075793;nm0002094;
tt0075793;nm0762248;
tt0069191;nm0055525;
tt0069191;nm0327436;
tt0069191;nm0282671;
tt0065380;nm0000995;
tt0065380;nm0563435;
tt0066922;nm0082419;
tt0066922;nm0714805;
tt0066922;nm0780002;
tt5508084;nm0060663;
tt5508084;nm0000019;
tt5508084;nm0536167;
tt0040092;nm2518733;
tt0038823;nm0768578;
tt0038823;nm0601224;
tt0038823;nm0875630;
tt0083141;nm0001485;
tt0083141;nm0004834;
tt0080789;nm0002144;
tt0081273;nm0342732;
tt0081273;nm0000459;
tt0080417;nm0000169;
tt0080417;nm0434565;
tt0080417;nm0926552;
tt0073992;nm0860681;
tt0073992;nm0110814;
tt0073992;nm0290933;
tt0080116;nm0001228;
tt0080116;nm0000222;
tt0080116;nm0507187;
tt0078976;nm0628017;
tt0078976;nm0164540;
tt0078976;nm0001859;
tt0077539;nm0460651;
tt0077691;nm0570263;
tt0077691;nm0405082;
tt0078641;nm0000245;
tt0078641;nm0300096;
tt0078641;nm0102963;
tt0076102;nm0000918;
tt0076102;nm0002058;
tt0076102;nm0312575;
tt0109919;nm0694619;
tt0109919;nm0000970;
tt0109919;nm0455133;
tt0090908;nm0000021;
tt0090908;nm0001868;
tt0090908;nm0791502;
tt0090411;nm0001440;
tt0090411;nm0395448;
tt0090411;nm0001626;
tt0084981;nm0290163;
tt0084981;nm0574534;
tt0084981;nm0642198;
tt0072559;nm0302387;
tt0072559;nm0057845;
tt0072559;nm0011716;
